Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
607 : (x,y) = (-22.429,35.406)

608 : (x,y) = (-21.8663,34.5793)

609 : (x,y) = (-22.8191,34.2757)

610 : (x,y) = (-21.8226,34.1926)

611 : (x,y) = (-21.2193,33.3951)

612 : (x,y) = (-22.217,33.3268)

613 : (x,y) = (-21.8206,32.4087)

614 : (x,y) = (-22.1937,31.4809)

615 : (x,y) = (-22.0435,32.4696)

616 : (x,y) = (-21.1076,32.8218)

617 : (x,y) = (-20.8722,31.8499)

618 : (x,y) = (-21.8635,31.9811)

619 : (x,y) = (-22.2643,31.065)

620 : (x,y) = (-23.0849,30.4934)

621 : (x,y) = (-22.0867,30.5534)

622 : (x,y) = (-21.9002,29.5709)

623 : (x,y) = (-21.034,29.0713)

624 : (x,y) = (-21.274,28.1005)

625 : (x,y) = (-20.2816,27.9776)

626 : (x,y) = (-19.3869,27.5308)

627 : (x,y) = (-20.3744,27.3731)

628 : (x,y) = (-19.382,27.2502)

629 : (x,y) = (-20.3208,27.5946)

630 : (x,y) = (-20.5022,26.6112)

631 : (x,y) = (-21.4897,26.4535)

632 : (x,y) = (-22.4484,26.169)

633 : (x,y) = (-23.1294,26.9013)

634 : (x,y) = (-22.1613,26.6508)

635 : (x,y) = (-23.1298,26.8997)

636 : (x,y) = (-22.1362,26.7868)

637 : (x,y) = (-22.8341,26.0705)

638 : (x,y) = (-23.6805,26.6031)

639 : (x,y) = (-24.3008,27.3874)

640 : (x,y) = (-24.3899,28.3834)

641 : (x,y) = (-23.7683,29.1667)

642 : (x,y) = (-23.5787,30.1486)

643 : (x,y) = (-24.4695,30.6029)

644 : (x,y) = (-25.0766,29.8083)

645 : (x,y) = (-24.8607,28.8318)

646 : (x,y) = (-25.5043,29.5972)

647 : (x,y) = (-24.8595,30.3615)

648 : (x,y) = (-23.8613,30.4215)

649 : (x,y) = (-24.8255,30.1563)

650 : (x,y) = (-24.5292,31.1114)

651 : (x,y) = (-25.0539,30.2601)

652 : (x,y) = (-24.8252,31.2336)

653 : (x,y) = (-25.6514,30.6703)

654 : (x,y) = (-24.7,30.3622)

655 : (x,y) = (-24.455,29.3927)

656 : (x,y) = (-24.9855,30.2404)

657 : (x,y) = (-25.2255,29.2696)

658 : (x,y) = (-24.6143,28.4781)

659 : (x,y) = (-25.6001,28.3105)

660 : (x,y) = (-25.1465,29.2017)

661 : (x,y) = (-25.3346,30.1839)

662 : (x,y) = (-26.2269,29.7324)

663 : (x,y) = (-26.0306,28.7519)

664 : (x,y) = (-26.1891,29.7392)

665 : (x,y) = (-27.1533,29.4741)

666 : (x,y) = (-26.7086,30.3698)

667 : (x,y) = (-25.7272,30.1778)

668 : (x,y) = (-26.7272,30.1894)

669 : (x,y) = (-26.4213,31.1414)

670 : (x,y) = (-25.7175,31.8518)

671 : (x,y) = (-24.8004,32.2504)

672 : (x,y) = (-25.7169,32.6505)

673 : (x,y) = (-24.7244,32.5276)

674 : (x,y) = (-25.7243,32.5092)

675 : (x,y) = (-24.7719,32.8143)

676 : (x,y) = (-23.9091,33.3198)

677 : (x,y) = (-24.5002,32.5132)

678 : (x,y) = (-24.8235,33.4595)

679 : (x,y) = (-23.8259,33.5294)

680 : (x,y) = (-24.3925,32.7054)

681 : (x,y) = (-24.9315,33.5478)

682 : (x,y) = (-23.9465,33.3754)

683 : (x,y) = (-24.2822,32.4335)

684 : (x,y) = (-25.067,31.8137)

685 : (x,y) = (-24.521,30.976)

686 : (x,y) = (-24.1868,31.9185)

687 : (x,y) = (-24.2989,30.9248)

688 : (x,y) = (-23.7927,31.7872)

689 : (x,y) = (-22.8652,31.4133)

690 : (x,y) = (-21.8915,31.6413)

691 : (x,y) = (-21.2241,32.3859)

692 : (x,y) = (-21.3032,33.3828)

693 : (x,y) = (-20.3368,33.6399)

694 : (x,y) = (-19.5407,34.2451)

695 : (x,y) = (-18.5425,34.305)

696 : (x,y) = (-17.7116,34.8614)

697 : (x,y) = (-16.8806,35.4177)

698 : (x,y) = (-15.9012,35.216)

699 : (x,y) = (-14.9775,34.8328)

700 : (x,y) = (-15.9742,34.9143)

701 : (x,y) = (-15.2563,35.6105)

702 : (x,y) = (-15.8869,34.8344)

703 : (x,y) = (-15.506,35.759)

704 : (x,y) = (-16.5051,35.8006)

705 : (x,y) = (-15.7756,35.1166)

706 : (x,y) = (-16.6376,35.6235)

707 : (x,y) = (-15.6556,35.8124)

708 : (x,y) = (-16.1546,34.9457)

709 : (x,y) = (-17.0557,34.5122)

710 : (x,y) = (-17.5633,33.6506)

711 : (x,y) = (-18.5628,33.6822)

712 : (x,y) = (-18.542,34.682)

713 : (x,y) = (-17.6519,34.2263)

714 : (x,y) = (-16.8956,33.572)

715 : (x,y) = (-16.4183,32.6933)

716 : (x,y) = (-15.4316,32.5308)

717 : (x,y) = (-14.6006,33.0872)

718 : (x,y) = (-15.5865,32.9196)

719 : (x,y) = (-14.8027,33.5406)

720 : (x,y) = (-15.7191,33.9406)

721 : (x,y) = (-16.6624,33.6087)

722 : (x,y) = (-17.0233,34.5413)

723 : (x,y) = (-16.9825,35.5404)

724 : (x,y) = (-16.3076,36.2784)

725 : (x,y) = (-16.8906,35.4659)

726 : (x,y) = (-15.9383,35.7709)

727 : (x,y) = (-16.3664,34.8672)

728 : (x,y) = (-17.0498,34.1371)

729 : (x,y) = (-17.6726,33.3548)

730 : (x,y) = (-17.5058,32.3688)

731 : (x,y) = (-16.5147,32.236)

732 : (x,y) = (-15.5308,32.4151)

733 : (x,y) = (-15.4433,31.4189)

734 : (x,y) = (-14.4435,31.4389)

735 : (x,y) = (-15.0157,32.259)

736 : (x,y) = (-15.4257,31.3469)

737 : (x,y) = (-15.973,32.1838)

738 : (x,y) = (-16.97,32.1055)

739 : (x,y) = (-17.9698,32.0871)

740 : (x,y) = (-18.742,31.4517)

741 : (x,y) = (-19.5794,30.9051)

742 : (x,y) = (-19.9496,31.834)

743 : (x,y) = (-20.2474,30.8794)

744 : (x,y) = (-20.7261,31.7574)

745 : (x,y) = (-19.83,32.2013)

746 : (x,y) = (-20.7858,31.9073)

747 : (x,y) = (-21.4295,32.6727)

748 : (x,y) = (-20.9938,33.5728)

749 : (x,y) = (-21.9597,33.8314)

750 : (x,y) = (-20.9695,33.9709)

751 : (x,y) = (-20.1348,33.4202)

752 : (x,y) = (-19.1528,33.6091)

753 : (x,y) = (-18.449,34.3194)

754 : (x,y) = (-18.7533,35.272)

755 : (x,y) = (-19.0576,36.2246)

756 : (x,y) = (-19.5363,37.1026)

757 : (x,y) = (-18.548,36.95)

758 : (x,y) = (-19.4576,36.5346)

759 : (x,y) = (-18.6758,35.9111)

760 : (x,y) = (-18.1439,36.7579)

761 : (x,y) = (-17.1957,36.4403)

762 : (x,y) = (-16.6836,35.5814)

763 : (x,y) = (-17.6529,35.3355)

764 : (x,y) = (-16.7218,34.9709)

765 : (x,y) = (-16.4573,34.0065)

766 : (x,y) = (-16.8735,34.9158)

767 : (x,y) = (-16.0443,34.3568)

768 : (x,y) = (-16.6328,35.1653)

769 : (x,y) = (-16.2062,36.0697)

770 : (x,y) = (-15.2325,36.2977)

771 : (x,y) = (-14.2545,36.5062)

772 : (x,y) = (-14.7155,37.3935)

773 : (x,y) = (-15.0794,36.4621)

774 : (x,y) = (-15.6099,37.3097)

775 : (x,y) = (-16.2982,38.0351)

776 : (x,y) = (-17.248,37.7221)

777 : (x,y) = (-16.5184,37.0381)

778 : (x,y) = (-16.0918,37.9425)

779 : (x,y) = (-15.1316,37.6631)

780 : (x,y) = (-16.0865,37.9602)

781 : (x,y) = (-17.0443,38.2476)

782 : (x,y) = (-17.6671,37.4653)

783 : (x,y) = (-16.9219,38.1322)

784 : (x,y) = (-16.211,38.8354)

785 : (x,y) = (-17.1151,39.2628)

786 : (x,y) = (-16.1318,39.0807)

787 : (x,y) = (-15.318,39.6617)

788 : (x,y) = (-14.3524,39.4015)

789 : (x,y) = (-14.599,40.3706)

790 : (x,y) = (-14.8681,39.4075)

791 : (x,y) = (-13.8808,39.5668)

792 : (x,y) = (-14.1402,38.6011)

793 : (x,y) = (-15.072,38.9642)

794 : (x,y) = (-15.3023,37.991)

795 : (x,y) = (-14.6807,38.7744)

796 : (x,y) = (-13.9512,38.0904)

797 : (x,y) = (-13.0565,37.6436)

798 : (x,y) = (-13.9349,37.1656)

799 : (x,y) = (-13.9173,36.1657)

800 : (x,y) = (-13.7406,35.1815)

801 : (x,y) = (-13.6798,36.1796)

802 : (x,y) = (-13.1089,35.3586)

803 : (x,y) = (-12.7747,36.3011)

804 : (x,y) = (-12.7839,37.301)

805 : (x,y) = (-12.5388,36.3315)

806 : (x,y) = (-12.6211,35.3349)

807 : (x,y) = (-11.6687,35.64)

808 : (x,y) = (-12.1503,34.7636)

809 : (x,y) = (-11.2191,34.399)

810 : (x,y) = (-11.7411,35.2519)

811 : (x,y) = (-12.4023,34.5017)

812 : (x,y) = (-11.7007,33.7891)

813 : (x,y) = (-11.265,34.6892)

814 : (x,y) = (-12.0968,34.1342)

815 : (x,y) = (-12.7875,33.411)

816 : (x,y) = (-12.9952,34.3892)

817 : (x,y) = (-12.0096,34.5584)

818 : (x,y) = (-12.7491,33.8852)

819 : (x,y) = (-13.0469,32.9306)

820 : (x,y) = (-12.8604,31.9482)

821 : (x,y) = (-13.019,32.9355)

822 : (x,y) = (-13.0213,31.9355)

823 : (x,y) = (-13.9531,32.2986)

824 : (x,y) = (-13.8656,31.3025)

825 : (x,y) = (-13.7352,32.2939)

826 : (x,y) = (-12.7838,31.9858)

827 : (x,y) = (-11.8038,32.1845)

828 : (x,y) = (-12.7967,32.0664)

829 : (x,y) = (-11.7985,32.1263)

830 : (x,y) = (-10.8098,32.2758)

831 : (x,y) = (-10.1522,31.5224)

832 : (x,y) = (-9.38298,30.8834)

833 : (x,y) = (-10.3806,30.815)

834 : (x,y) = (-9.72065,31.5663)

835 : (x,y) = (-10.359,30.7966)

836 : (x,y) = (-9.84695,29.9377)

837 : (x,y) = (-10.2293,29.0137)

838 : (x,y) = (-9.37328,28.4968)

839 : (x,y) = (-9.46553,27.5011)

840 : (x,y) = (-10.1682,28.2125)

841 : (x,y) = (-9.22549,28.546)

842 : (x,y) = (-8.36268,29.0516)

843 : (x,y) = (-8.82376,29.9389)

844 : (x,y) = (-7.92771,30.3829)

845 : (x,y) = (-7.30859,29.5976)

846 : (x,y) = (-7.73381,30.5027)

847 : (x,y) = (-7.06872,29.7559)

848 : (x,y) = (-6.26854,29.1561)

849 : (x,y) = (-6.65093,28.2321)

850 : (x,y) = (-7.65053,28.2037)

851 : (x,y) = (-6.65108,28.1706)

852 : (x,y) = (-5.9059,28.8374)

853 : (x,y) = (-6.01806,27.8437)

854 : (x,y) = (-5.06882,28.1583)

855 : (x,y) = (-4.10865,27.8789)

856 : (x,y) = (-5.01408,27.4544)

857 : (x,y) = (-4.19443,28.0273)

858 : (x,y) = (-5.00924,27.4475)

859 : (x,y) = (-5.69262,26.7175)

860 : (x,y) = (-4.84706,26.1836)

861 : (x,y) = (-3.93943,25.7638)

862 : (x,y) = (-4.3003,26.6964)

863 : (x,y) = (-4.07155,27.6699)

864 : (x,y) = (-3.072,27.6999)

865 : (x,y) = (-2.70034,28.6283)

866 : (x,y) = (-3.58192,29.1003)

867 : (x,y) = (-4.52184,28.7589)

868 : (x,y) = (-3.66413,29.273)

869 : (x,y) = (-4.21415,28.4379)

870 : (x,y) = (-5.20715,28.3198)

871 : (x,y) = (-4.47083,27.6431)

872 : (x,y) = (-3.47176,27.6)

873 : (x,y) = (-2.95694,28.4573)

874 : (x,y) = (-2.98933,27.4578)

875 : (x,y) = (-3.98846,27.4994)

876 : (x,y) = (-3.47364,28.3567)

877 : (x,y) = (-3.39611,27.3597)

878 : (x,y) = (-2.81443,28.1731)

879 : (x,y) = (-1.8171,28.1)

880 : (x,y) = (-1.03328,28.721)

881 : (x,y) = (-2.03325,28.7125)

882 : (x,y) = (-1.31756,28.0141)

883 : (x,y) = (-0.39008,27.6402)

884 : (x,y) = (-0.722816,28.5833)

885 : (x,y) = (-1.06796,27.6447)

886 : (x,y) = (-0.752635,28.5937)

887 : (x,y) = (0.244167,28.6736)

888 : (x,y) = (0.747638,27.8096)

889 : (x,y) = (0.295461,28.7015)

890 : (x,y) = (-0.165611,29.5889)

891 : (x,y) = (-0.88463,28.8939)

892 : (x,y) = (-0.173716,29.5972)

893 : (x,y) = (-1.15957,29.4296)

894 : (x,y) = (-0.895141,28.4652)

895 : (x,y) = (-0.260448,27.6924)

896 : (x,y) = (0.607371,28.1893)

897 : (x,y) = (0.862142,27.2223)

898 : (x,y) = (1.44936,26.4128)

899 : (x,y) = (0.449422,26.4244)

900 : (x,y) = (-0.0320984,25.548)

901 : (x,y) = (0.530571,24.7213)

902 : (x,y) = (0.408487,23.7288)

903 : (x,y) = (1.18606,24.3576)

904 : (x,y) = (1.15686,25.3572)

905 : (x,y) = (0.907142,24.3889)

906 : (x,y) = (0.524745,23.4649)

907 : (x,y) = (-0.475187,23.4764)

908 : (x,y) = (-0.00385908,24.3584)

909 : (x,y) = (0.747947,25.0178)

910 : (x,y) = (1.28557,24.1746)

911 : (x,y) = (0.285567,24.1762)

912 : (x,y) = (-0.709595,24.0779)

913 : (x,y) = (-1.556,24.6105)

914 : (x,y) = (-1.89815,25.5501)

915 : (x,y) = (-2.68098,26.1724)

916 : (x,y) = (-3.00729,25.2271)

917 : (x,y) = (-2.04172,24.9669)

918 : (x,y) = (-2.49674,24.0765)

919 : (x,y) = (-1.81685,23.3431)

920 : (x,y) = (-0.820893,23.433)

921 : (x,y) = (0.134443,23.7285)

922 : (x,y) = (0.809319,24.4665)

923 : (x,y) = (-0.185843,24.3682)

924 : (x,y) = (-0.185047,25.3682)

925 : (x,y) = (-1.08181,24.9257)

926 : (x,y) = (-1.17089,25.9217)

927 : (x,y) = (-0.19286,26.1302)

928 : (x,y) = (0.802144,26.23)

929 : (x,y) = (0.323418,27.108)

930 : (x,y) = (1.23651,27.5157)

931 : (x,y) = (1.17416,26.5177)

932 : (x,y) = (0.210813,26.786)

933 : (x,y) = (-0.328148,27.6283)

934 : (x,y) = (-0.738089,26.7162)

935 : (x,y) = (-1.08024,27.6558)

936 : (x,y) = (-2.06437,27.4784)

937 : (x,y) = (-2.62006,28.3097)

938 : (x,y) = (-1.80225,27.7343)

939 : (x,y) = (-1.03946,27.0876)

940 : (x,y) = (-1.81803,26.4601)

941 : (x,y) = (-2.05806,25.4893)

942 : (x,y) = (-1.77134,26.4473)

943 : (x,y) = (-1.31774,27.3385)

944 : (x,y) = (-2.31036,27.4598)

945 : (x,y) = (-1.69913,26.6684)

946 : (x,y) = (-1.16727,27.5152)

947 : (x,y) = (-0.206217,27.7915)

948 : (x,y) = (0.397066,26.994)

949 : (x,y) = (1.2206,26.4267)

950 : (x,y) = (0.517886,27.1382)

951 : (x,y) = (0.628456,28.1321)

952 : (x,y) = (1.60649,28.3405)

953 : (x,y) = (2.38833,27.7171)

954 : (x,y) = (1.80794,28.5314)

955 : (x,y) = (1.77874,29.531)

956 : (x,y) = (0.881982,29.0885)

957 : (x,y) = (0.690777,28.1069)

958 : (x,y) = (0.929253,29.0781)

959 : (x,y) = (0.0622266,29.5763)

960 : (x,y) = (1.05583,29.4634)

961 : (x,y) = (0.0571585,29.5149)

962 : (x,y) = (-0.269144,28.5697)

963 : (x,y) = (-1.22976,28.8476)

964 : (x,y) = (-1.62138,27.9274)

965 : (x,y) = (-1.16778,28.8186)

966 : (x,y) = (-0.540846,28.0396)

967 : (x,y) = (-0.135268,27.1255)

968 : (x,y) = (-0.391579,28.0921)

969 : (x,y) = (-0.855475,27.2062)

970 : (x,y) = (-1.43586,28.0206)

971 : (x,y) = (-0.6775,28.6724)

972 : (x,y) = (-1.29786,29.4567)

973 : (x,y) = (-1.19046,28.4625)

974 : (x,y) = (-1.11293,27.4655)

975 : (x,y) = (-1.08213,28.465)

976 : (x,y) = (-1.69714,27.6765)

977 : (x,y) = (-0.748908,27.3589)

978 : (x,y) = (-1.18602,26.4595)

979 : (x,y) = (-0.842377,27.3986)

980 : (x,y) = (-1.40636,28.2244)

981 : (x,y) = (-1.8254,27.3164)

982 : (x,y) = (-0.952659,27.8046)

983 : (x,y) = (-1.00184,28.8034)

984 : (x,y) = (-1.02423,27.8036)

985 : (x,y) = (-0.544106,28.6808)

986 : (x,y) = (0.251978,29.286)

987 : (x,y) = (-0.520281,28.6507)

988 : (x,y) = (-0.482679,27.6514)

989 : (x,y) = (0.348262,28.2078)

990 : (x,y) = (1.16029,27.6242)

991 : (x,y) = (1.77403,28.4137)

992 : (x,y) = (1.64519,29.4053)

993 : (x,y) = (2.078,28.5038)

994 : (x,y) = (1.74226,27.5619)

995 : (x,y) = (2.18692,28.4576)

996 : (x,y) = (1.46099,27.7698)

997 : (x,y) = (0.688732,27.1345)

998 : (x,y) = (0.149771,27.9768)

999 : (x,y) = (1.13649,27.8144)

1000 : (x,y) = (1.27366,26.8238)

1001 : (x,y) = (0.284655,26.676)

1002 : (x,y) = (-0.161433,25.781)

1003 : (x,y) = (0.403867,26.6059)

1004 : (x,y) = (-0.596132,26.6075)

1005 : (x,y) = (-1.36839,25.9722)

1006 : (x,y) = (-0.962813,25.0581)

1007 : (x,y) = (-0.166729,25.6633)

1008 : (x,y) = (-0.10915,24.6649)

1009 : (x,y) = (-1.10399,24.7664)

1010 : (x,y) = (-0.650398,25.6576)

1011 : (x,y) = (-0.395627,24.6906)

1012 : (x,y) = (0.535544,24.326)

1013 : (x,y) = (1.07316,23.4828)

1014 : (x,y) = (1.49694,22.577)

1015 : (x,y) = (2.31659,23.1499)

1016 : (x,y) = (2.05062,24.1139)

1017 : (x,y) = (1.61638,25.0147)

1018 : (x,y) = (2.2276,24.2232)

1019 : (x,y) = (2.43373,23.2447)

1020 : (x,y) = (3.14464,23.948)

1021 : (x,y) = (2.8089,23.006)

1022 : (x,y) = (2.44803,23.9386)

1023 : (x,y) = (1.93458,24.7967)

1024 : (x,y) = (2.75991,25.3614)

1025 : (x,y) = (2.15536,26.158)

1026 : (x,y) = (3.15481,26.1248)

1027 : (x,y) = (4.14841,26.0118)

1028 : (x,y) = (3.5048,26.7772)

1029 : (x,y) = (3.11612,27.6986)

1030 : (x,y) = (3.93,28.2796)

1031 : (x,y) = (3.00074,27.9102)

1032 : (x,y) = (3.56341,27.0835)

1033 : (x,y) = (4.16669,26.2859)

1034 : (x,y) = (4.74021,27.1051)

1035 : (x,y) = (3.78152,26.8207)

1036 : (x,y) = (4.41093,27.5978)

1037 : (x,y) = (3.4687,27.9328)

1038 : (x,y) = (3.81235,28.8719)

1039 : (x,y) = (3.86313,29.8706)

1040 : (x,y) = (3.47151,28.9505)

1041 : (x,y) = (2.55375,28.5533)

1042 : (x,y) = (3.54771,28.6631)

1043 : (x,y) = (4.51905,28.9008)

1044 : (x,y) = (3.75318,28.2578)

1045 : (x,y) = (3.46494,27.3002)

1046 : (x,y) = (4.10733,26.5338)

1047 : (x,y) = (3.11832,26.386)

1048 : (x,y) = (3.06596,25.3874)

1049 : (x,y) = (2.41473,26.1462)

1050 : (x,y) = (3.38839,26.3742)

1051 : (x,y) = (3.90321,27.2315)

1052 : (x,y) = (3.17947,27.9216)

1053 : (x,y) = (2.19972,28.1218)

1054 : (x,y) = (1.92413,29.0831)

1055 : (x,y) = (2.18198,30.0493)

1056 : (x,y) = (2.37831,29.0687)

1057 : (x,y) = (2.70009,28.1219)

1058 : (x,y) = (2.28395,29.0312)

1059 : (x,y) = (2.84662,28.2045)

1060 : (x,y) = (1.92494,27.8166)

1061 : (x,y) = (1.89574,28.8162)

1062 : (x,y) = (0.903969,28.6881)

1063 : (x,y) = (1.90197,28.625)

1064 : (x,y) = (2.56944,29.3696)

1065 : (x,y) = (2.02779,28.529)

1066 : (x,y) = (1.30406,29.2191)

1067 : (x,y) = (1.06403,28.2483)

1068 : (x,y) = (0.256946,28.8387)

1069 : (x,y) = (0.423773,27.8528)

1070 : (x,y) = (-0.00144587,28.7578)

1071 : (x,y) = (0.643381,29.5222)

1072 : (x,y) = (-0.262048,29.0977)

1073 : (x,y) = (-0.775501,29.9558)

1074 : (x,y) = (-0.367014,30.8686)

1075 : (x,y) = (-0.786055,29.9606)

1076 : (x,y) = (-1.34175,30.792)

1077 : (x,y) = (-0.879268,31.6786)

1078 : (x,y) = (-0.434607,32.5743)

1079 : (x,y) = (-1.2863,33.0983)

1080 : (x,y) = (-1.96968,32.3683)

1081 : (x,y) = (-1.12243,32.8995)

1082 : (x,y) = (-1.01186,33.8933)

1083 : (x,y) = (-1.4218,32.9812)

1084 : (x,y) = (-2.24803,32.4179)

1085 : (x,y) = (-1.50956,33.0922)

1086 : (x,y) = (-2.50906,33.1238)

1087 : (x,y) = (-1.53387,32.9024)

1088 : (x,y) = (-0.809031,33.5914)

1089 : (x,y) = (-0.512751,34.5465)

1090 : (x,y) = (-0.57192,35.5447)

1091 : (x,y) = (-0.779601,36.5229)

1092 : (x,y) = (0.0382185,35.9474)

1093 : (x,y) = (-0.645166,35.2174)

1094 : (x,y) = (-0.942968,34.2627)

1095 : (x,y) = (-0.25347,34.987)

1096 : (x,y) = (-0.934525,35.7193)

1097 : (x,y) = (-0.943729,36.7192)

1098 : (x,y) = (-1.14162,37.6994)

1099 : (x,y) = (-2.07337,38.0625)

1100 : (x,y) = (-1.91641,37.0749)

1101 : (x,y) = (-2.27092,36.1399)

1102 : (x,y) = (-2.74964,37.0179)

1103 : (x,y) = (-3.71384,36.7527)

1104 : (x,y) = (-4.71051,36.8342)

1105 : (x,y) = (-4.71972,37.8341)

1106 : (x,y) = (-3.72405,37.7411)

1107 : (x,y) = (-3.25554,36.8576)

1108 : (x,y) = (-3.68076,37.7627)

1109 : (x,y) = (-2.80957,37.2717)

1110 : (x,y) = (-3.34853,38.1141)

1111 : (x,y) = (-3.04575,37.161)

1112 : (x,y) = (-2.28947,36.5068)

1113 : (x,y) = (-2.75054,37.3941)

1114 : (x,y) = (-3.71734,37.1386)

1115 : (x,y) = (-2.71933,37.0754)

1116 : (x,y) = (-3.22418,37.9387)

1117 : (x,y) = (-2.2967,37.5648)

1118 : (x,y) = (-2.3159,38.5646)

1119 : (x,y) = (-3.24766,38.9277)

1120 : (x,y) = (-3.82248,38.1094)

1121 : (x,y) = (-3.56771,37.1424)

1122 : (x,y) = (-2.58386,37.3214)

1123 : (x,y) = (-3.18842,38.118)

1124 : (x,y) = (-2.39426,37.5103)

1125 : (x,y) = (-1.43893,37.8058)

1126 : (x,y) = (-1.95238,38.6639)

1127 : (x,y) = (-1.46629,37.79)

1128 : (x,y) = (-1.45868,36.7901)

1129 : (x,y) = (-1.18462,35.8283)

1130 : (x,y) = (-2.03103,36.3609)

1131 : (x,y) = (-2.00024,37.3604)

1132 : (x,y) = (-1.81372,36.3779)

1133 : (x,y) = (-2.30121,37.2511)

1134 : (x,y) = (-1.34104,36.9717)

1135 : (x,y) = (-0.99739,37.9108)

1136 : (x,y) = (-1.70942,37.2086)

1137 : (x,y) = (-2.40727,36.4924)

1138 : (x,y) = (-3.38563,36.2855)

1139 : (x,y) = (-3.90182,35.429)

1140 : (x,y) = (-3.9242,34.4292)

1141 : (x,y) = (-2.92825,34.5191)

1142 : (x,y) = (-2.55027,33.5933)

1143 : (x,y) = (-2.10561,34.489)

1144 : (x,y) = (-2.83839,33.8085)

1145 : (x,y) = (-3.71191,33.3217)

1146 : (x,y) = (-4.71141,33.3533)

1147 : (x,y) = (-5.66919,33.6408)

1148 : (x,y) = (-4.89998,33.0018)

1149 : (x,y) = (-5.85484,33.2989)

1150 : (x,y) = (-4.8637,33.1661)

1151 : (x,y) = (-4.05567,33.7552)

1152 : (x,y) = (-3.77855,34.7161)

1153 : (x,y) = (-3.61172,33.7301)

1154 : (x,y) = (-3.24302,32.8005)

1155 : (x,y) = (-3.81785,31.9822)

1156 : (x,y) = (-4.73433,32.3823)

1157 : (x,y) = (-4.60391,33.3738)

1158 : (x,y) = (-5.20302,32.5731)

1159 : (x,y) = (-6.07654,32.0863)

1160 : (x,y) = (-5.92631,33.075)

1161 : (x,y) = (-4.96899,32.786)

1162 : (x,y) = (-4.52718,31.8889)

1163 : (x,y) = (-4.06469,32.7755)

1164 : (x,y) = (-3.1103,32.4769)

1165 : (x,y) = (-2.14739,32.2071)

1166 : (x,y) = (-2.80103,31.4503)

1167 : (x,y) = (-3.77658,31.6701)

1168 : (x,y) = (-4.72843,31.9767)

1169 : (x,y) = (-4.84735,32.9696)

1170 : (x,y) = (-5.57328,32.2818)

1171 : (x,y) = (-6.29702,32.9719)

1172 : (x,y) = (-6.00074,33.927)

1173 : (x,y) = (-5.29689,34.6373)

1174 : (x,y) = (-5.5532,35.6039)

1175 : (x,y) = (-5.00718,34.7662)

1176 : (x,y) = (-4.01889,34.6136)

1177 : (x,y) = (-5.01839,34.6452)

1178 : (x,y) = (-5.43454,35.5545)

1179 : (x,y) = (-4.91972,36.4118)

1180 : (x,y) = (-5.70873,37.0261)

1181 : (x,y) = (-6.03202,37.9724)

1182 : (x,y) = (-6.45724,38.8775)

1183 : (x,y) = (-5.81485,38.1111)

1184 : (x,y) = (-5.02682,37.4955)

1185 : (x,y) = (-5.80339,38.1255)

1186 : (x,y) = (-6.10769,39.0781)

1187 : (x,y) = (-6.53579,38.1744)

1188 : (x,y) = (-7.3206,37.5547)

1189 : (x,y) = (-6.65313,38.2993)

1190 : (x,y) = (-7.31431,37.5491)

1191 : (x,y) = (-6.3514,37.2793)

1192 : (x,y) = (-6.11292,38.2504)

1193 : (x,y) = (-5.35664,37.5962)

1194 : (x,y) = (-6.30637,37.2831)

1195 : (x,y) = (-5.30637,37.2831)

1196 : (x,y) = (-5.00056,38.2352)

1197 : (x,y) = (-4.91985,39.2319)

1198 : (x,y) = (-4.80928,40.2258)

1199 : (x,y) = (-4.41286,39.3077)

1200 : (x,y) = (-5.37156,39.0233)

1201 : (x,y) = (-5.88774,38.1668)

1202 : (x,y) = (-5.33337,37.3346)

1203 : (x,y) = (-6.21019,37.8154)

1204 : (x,y) = (-5.43261,38.4442)

1205 : (x,y) = (-4.8135,37.6589)

1206 : (x,y) = (-5.7803,37.4033)

1207 : (x,y) = (-5.42728,38.339)

1208 : (x,y) = (-4.62519,38.9362)

1209 : (x,y) = (-3.81716,39.5253)

1210 : (x,y) = (-3.54966,40.4889)

1211 : (x,y) = (-4.33867,41.1032)

